user_id,item_id,rating
2923,7476,4
2923,6318,5
2923,4595,5
2923,7264,5
2923,8325,5
2923,7241,5
2923,471,5
4599,12153,4
4599,6195,4
4599,6746,2
4599,8853,4
4599,8071,3
4599,11515,3
4599,11209,5
7267,9338,4
7267,11911,5
7267,9178,3
7267,961,5
7267,2818,2
7267,12572,2
7267,307,2
7267,3722,4
7267,905,4
7267,8162,2
7267,6909,4
7267,10848,2
7267,5754,2
7267,7913,3
7267,2846,3
7267,11794,5
5366,6572,5
5366,5251,3
5366,7666,3
5366,7100,3
5366,4141,3
5366,4363,3
5366,2194,2
5366,1495,2
5366,892,4
5366,6819,3
5366,7804,3
5366,3826,3
688,3572,4
688,6844,4
688,12136,3
688,10050,3
688,7153,4
688,6260,3
688,5793,3
688,8749,3
3527,11927,5
3527,8904,5
3527,11545,5
3527,1776,5
3527,7254,4
3527,10379,5
3527,5074,4
3527,1664,4
3527,8295,3
3527,8858,5
3527,4454,4
3527,9226,4
5737,1377,5
5737,5084,4
5737,6412,3
5737,5636,5
5737,377,3
5737,6174,4
5737,2968,5
5737,5112,4
5737,7264,4
5737,7446,5
5737,5443,5
5737,3367,5
6571,6585,4
6571,9529,3
6571,10290,4
6571,3062,4
6571,6505,5
6571,4926,4
6571,2303,3
6571,3572,4
7749,4214,4
7749,6694,4
7749,11545,4
7749,1165,3
7749,8527,4
7749,8519,4
7749,6043,3
7749,6171,5
7749,5443,4
7749,5457,4
7749,10112,5
7749,9317,4
7749,8071,3
7749,3922,3
7749,651,4
5007,7586,5
5007,5623,4
5007,8071,4
5007,601,5
5007,8519,3
5007,5443,5
5007,5280,4
5007,7419,4
8764,7157,4
8764,11685,2
8764,5006,4
8764,3347,2
8764,5862,4
8764,10290,3
8764,5443,3
8953,5277,4
8953,5443,5
8953,4902,4
8953,1543,5
8953,11118,4
8953,12659,5
8953,7175,3
8953,11230,4
8953,8563,4
8953,10959,5
8953,1170,4
8953,10854,4
8953,5997,4
4834,10674,4
4834,9780,5
4834,7119,2
4834,5443,4
4834,2826,4
4834,8669,4
4834,5277,4
9334,3632,4
9334,8237,3
9334,11207,3
9334,10365,4
9334,3367,5
9334,553,4
9334,12593,4
9334,3928,4
9334,8307,4
9334,799,4
9334,206,4
208,850,2
208,1652,3
208,11662,5
208,1835,5
208,9539,4
208,3048,5
208,4065,4
208,1722,3
208,4448,3
208,4614,5
208,2408,4
208,1258,2
208,4773,3
208,8352,5
208,9544,4
208,10001,4
208,1156,4
208,7610,5
208,9610,5
208,1411,5
208,188,4
208,4041,4
208,4239,4
208,9893,3
208,10364,4
208,11879,5
208,1320,3
208,1487,4
208,6043,4
208,4423,5
208,11908,5
208,9386,3
208,385,4
208,4325,5
208,4030,5
208,8572,3
208,2771,3
208,5968,5
208,2146,5
208,7440,3
208,5602,2
208,11386,5
208,491,5
208,3572,5
208,1331,5
208,3680,2
208,4141,5
208,5423,5
208,11118,5
208,5001,5
208,7681,5
208,3462,5
208,9843,3
208,7100,4
208,5325,4
208,7325,5
208,11490,4
208,3112,5
208,8691,3
208,2349,5
208,11096,5
208,8807,5
208,1557,5
208,5131,3
208,3407,3
208,3692,5
208,6140,3
208,10861,3
208,1659,5
208,880,5
208,10680,5
208,6661,5
208,2782,3
208,7023,5
208,12232,5
208,5535,5
208,601,5
208,6408,3
208,893,5
208,5764,4
208,5439,4
208,9238,4
208,5671,4
208,1570,5
208,12259,5
208,93,3
208,1863,2
208,4524,5
208,4375,5
208,5456,2
208,6925,5
3666,409,5
3666,1898,5
3666,553,4
3666,9487,4
3666,3755,5
3666,5660,3
3666,6487,3
3666,10733,5
9402,1182,4
9402,7662,4
9402,2931,5
9402,651,5
9402,3951,4
9402,11824,4
8204,8468,5
8204,799,4
8204,5663,4
8204,4141,4
8204,3575,5
8204,4828,3
4323,5675,3
4323,7119,3
4323,260,3
4323,6468,4
4323,7722,5
4323,6776,4
4323,7501,4
4323,9974,4
4323,11203,4
4323,3826,4
6331,6921,4
6331,10815,4
6331,3440,4
6331,989,3
6331,1664,5
6331,3367,5
6331,8807,4
6331,7241,4
6331,4961,4
2112,5277,3
2112,8843,3
2112,8069,3
2112,9319,3
2112,8389,4
2112,11685,3
2112,12136,4
2870,7907,4
2870,7666,5
2870,3506,5
2870,11124,5
2870,11087,5
2870,8768,5
2870,3691,3
2870,1718,4
2870,3609,4
2870,10387,5
2870,10395,4
2870,3821,5
2870,8518,5
2870,10487,4
2870,9370,5
2870,8439,5
2870,1403,5
2870,7572,5
2870,5935,3
2870,10379,3
2870,10854,5
2870,9865,3
2870,9237,5
2870,2605,4
2870,3534,5
2870,6596,5
2870,12136,4
2870,6430,4
2870,1657,4
2870,3001,4
2870,4378,5
2870,2353,4
2870,6352,3
2870,6921,5
2870,1664,4
2870,551,5
2870,6937,5
2870,3666,5
1987,8160,4
1987,8952,5
1987,11307,2
1987,7175,4
1987,2654,4
1987,11550,4
1987,1147,5
1987,8855,4
1987,9158,5
7030,12643,5
7030,9544,5
7030,2762,5
7030,8519,5
7030,3693,5
7030,1568,5
7030,1574,4
5494,6195,5
5494,10633,2
5494,9480,2
5494,8691,4
5494,2468,3
5494,2067,5
5494,7885,3
